id,description,fr
form.field.dateRangepicker.checkbox.dateLabel,Label for daterange picker checkbox,{rangeStart} à {rangeEnd}
form.field.helpertext.nid,Helper text for nid input field,Le numéro d'identification national doit être uniquement numérique et comporter 10 chiffres
form.field.hideLabel,Button to hide section,Cacher
form.field.label.NID,National ID,NID
form.field.label.addFile,text for add file button,Télécharger
form.field.label.app.certifyRecordTo.bride,Label for bride select option to certify record,Imprimer et envoyer à la mariée
form.field.label.app.certifyRecordTo.father,Label for father select option to certify record,Imprimer et remettre au père
form.field.label.app.certifyRecordTo.groom,Label for groom select option to certify record,Imprimer et envoyer au marié
form.field.label.app.certifyRecordTo.informant,Label for mother select option to certify record,"Imprimer et remettre à l'informateur ({informant, select, MOTHER {Mère} FATHER {Père} GRANDFATHER {Grand-père} GRANDMOTHER {Grand-mère} BROTHER {Frère} SISTER {Sœur} LEGAL_GUARDIAN {Tuteur légal} BRIDE {Mariée} GROOM {Marié} HEAD_OF_GROOM_FAMILY {Chef de la famille du marié} HEAD_OF_BRIDE_FAMILY {Chef de la famille de la mariée} SPOUSE {Conjoint} SON {Fils} DAUGHTER {Fille} SON_IN_LAW {Beau-fils} DAUGHTER_IN_LAW {Belle-fille} GRANDSON {Petit-fils} GRANDDAUGHTER {Petite-fille} other {{informant}}})"
form.field.label.app.certifyRecordTo.mother,Label for mother select option to certify record,Imprimer et remettre à la mère
form.field.label.app.whoContDet.app,"Label for ""Informant"" select option",Informateur
form.field.label.app.whoContDet.father,"Label for ""Father"" select option",Père
form.field.label.app.whoContDet.mother,"Label for ""Mother"" select option",Mère
form.field.label.birthLocation,Label for form field: Hospital or Health Institution,Hôpital / Clinique
form.field.label.certificatePrintInAdvance,Label for certificate collection option,Imprimer à l'avance pour les signatures et la collecte
form.field.label.cityUrbanOption,Label for City,Ville
form.field.label.confirm,confirmation label for yes / no radio button,Oui
form.field.label.country,Title for the country select,Pays
form.field.label.creatingNewUser,label for creating new user,Créer un nouvel utilisateur
form.field.label.dateOfBirth,Label for form field: Date of birth,Date de naissance
form.field.label.dateOfMarriage,Option for form field: Date of marriage,Date du mariage
form.field.label.deny,deny label for yes / no radio button,Non
form.field.label.district,Label for District,District
form.field.label.docTypeBirthCert,Label for select option birth certificate,Certificat de la naissance
form.field.label.email,Input label for email address,e-mail
form.field.label.familyName,Label for family name text input,Nom de famille
form.field.label.fileSizeError,text for error on file size,La taille du fichier doit être inférieure à 2 Mo
form.field.label.fileUploadError,text for error on file upload,{type} format d'images accepté
form.field.label.firstName,Input label for certificate collector's first name,Prénom(s)
form.field.label.firstNames,Label for form field: First names,Prénom(s)
form.field.label.fullHonorificName,Input label for full honorific name,Nom complet avec titre
form.field.label.healthInstitution,Select item for Health Institution,Institution de santé
form.field.label.iD,Label for form field: ID Number,Numéro d'identification
form.field.label.iDType,,Type d'identification
form.field.label.iDTypeAlienNumber,,Numéro d'étranger
form.field.label.iDTypeBRN,,Numéro d'enregistrement de naissance
form.field.label.iDTypeDRN,,Numéro d'enregistrement de décès
form.field.label.iDTypeDrivingLicense,,Permis de conduire
form.field.label.iDTypeNationalID,,Carte d'identité nationale
form.field.label.iDTypeNoID,,Aucune pièce d'identité disponible
form.field.label.iDTypeOther,,Autre
form.field.label.iDTypeOtherLabel,Label for form field: Other type of ID,Autre type de carte d'identité
form.field.label.iDTypePassport,,Passeport
form.field.label.iDTypeRefugeeNumber,,Numéro de réfugié
form.field.label.informant,Informant Label,Informateur
form.field.label.informantRelation.bride,Label for option bride,Mariée
form.field.label.informantRelation.brother,Label for option brother,Frère
form.field.label.informantRelation.daughter,Label for option Daughter,Fille
form.field.label.informantRelation.daughterInLaw,Label for option Daughter in law,Fille par alliance
form.field.label.informantRelation.extendedFamily,Label for option Extended Family,Famille élargie
form.field.label.informantRelation.father,Label for option father,Père
form.field.label.informantRelation.granddaughter,Label for option Granddaughter,Petite-fille
form.field.label.informantRelation.grandfather,Label for option Grandfather,Grand-père
form.field.label.informantRelation.grandmother,Label for option Grandmother,Grand-mère
form.field.label.informantRelation.grandson,Label for option Grandson,Petit-fils
form.field.label.informantRelation.groom,Label for option groom,Marié
form.field.label.informantRelation.groomAndBride,Label for option Groom & Bride,Le marié et la mariée
form.field.label.informantRelation.legalGuardian,Label for option Legal Guardian,Tuteur légal
form.field.label.informantRelation.mother,Label for option mother,Mère
form.field.label.informantRelation.others,Label for option someone else,Quelqu'un d'autre
form.field.label.informantRelation.sister,Label for option Sister,Sœur
form.field.label.informantRelation.son,Label for option Son,Fils
form.field.label.informantRelation.sonInLaw,Label for option Son in law,Fils par alliance
form.field.label.informantRelation.spouse,Label for option Spouse,Conjoint
form.field.label.informantRelation.whoIsBirthInformant,Label for option birth informant,Qui est l'informateur
form.field.label.informantRelation.whoIsDeathInformant,Label for option death informant,Qui est l'informateur
form.field.label.informantsRelationWithChild,Label for Relationship to child,Lien de parenté avec l'enfant
form.field.label.informantsRelationWithDeceased,Label for Relationship to Deceased select,Lien de parenté avec le défunt
form.field.label.lastName,Input label for certificate collector's last name,Nom de famille
form.field.label.locationLevel3,Label for locationLevel3,Emplacement Niveau 3
form.field.label.locationLevel4,Label for locationLevel4,Emplacement Niveau 4
form.field.label.locationLevel5,Label for locationLevel5,Emplacement Niveau 5
form.field.label.multipleBirth,Label for form field: multipleBirth,Nombre de naissances antérieures
form.field.label.optionalLabel,Optional label,Facultatif
form.field.label.otherOption,Other option for select,Autre
form.field.label.phoneNumber,Input label for phone input,Numéro de téléphone
form.field.label.placeOfBirth,Label for form field: Place of delivery,Lieu
form.field.label.privateHome,Select item for Private Home,Adresse de résidence
form.field.label.registrationOffice,Registration office,Bureau d'enregistrement
form.field.label.relationOtherFamilyMember,Label for other family member relation,Autre membre de la famille
form.field.label.relationSomeoneElse,Label for option Someone else,Quelqu'un d'autre
form.field.label.relationshipToSpouses,Input label for witness's relationship with spouses,Relation avec les époux
form.field.label.self,The title that appears when selecting self as informant,Soi-même
form.field.label.sex,Label for form field: Sex name,Sexe
form.field.label.sexFemale,Option for form field: Sex name,Femme
form.field.label.sexMale,Option for form field: Sex name,Homme
form.field.label.sexUnknown,Option for form field: Sex name,Inconnu
form.field.label.someoneElse,Other Label,Quelqu'un d'autre
form.field.label.someoneElseCollector,Other Label,Imprimer et remettre à quelqu'un d'autre
form.field.label.state,Label for State,Province
form.field.label.typeOfId,Input label for certificate collector's id type options,Type d'identification
form.field.label.updatingUser,label for updating user,Mise à jour de l'utilisateur
form.field.label.uploadDocForMother,Label for radio option Mother,Mère
form.field.label.uploadFile,text for upload file button,Télécharger
form.field.label.userAttachmentSection,label for user signature attachment,Signature
form.field.label.userDevice,User device,Dispositif
form.field.label.userFirstName,User's English first name,Prénom de l'utilisateur
form.field.label.userSignatureAttachment,Input label for user signature attachment,Signature de l'utilisateur
form.field.label.userSignatureAttachmentDesc,Description for user signature attachment,"Demandez à l'utilisateur de signer une feuille de papier, puis scannez ou prenez une photo."
form.field.label.userSignatureAttachmentTitle,Title for user signature attachment,Joindre la signature
form.field.label.userSurname,User's English surname,Nom de famille de l'utilisateur
form.field.nidNotVerified,label for verified nid state,Authentifier
form.field.nidNotVerifiedReviewSection,Label for indicating unauthenticated status for the a review section,Non authentifié
form.field.nidVerificationOngoing,Label for indicating offline status for the user. NID verification is not currently available offline.,L'authentification de l'identifiant national n'est actuellement pas disponible hors ligne
form.field.nidVerified,label for unverified nid state,Authentifié
form.field.select.placeholder,Placeholder text for a select,Sélectionnez
form.field.showLabel,Button to show section,Afficher
form.field.tooltip.tooltipNationalID,Tooltip for form field: iD number,Il s'agit d'une info-bulle pour guider l'utilisateur dans la saisie de l'identifiant national.
form.section.accountDetails,Account details section,Coordonnées du compte
form.section.assignedRegistrationOffice,Assigned Registration Office section,A quel bureau voulez-vous affecter un nouvel utilisateur ?
form.section.assignedRegistrationOfficeGroupTitle,Assigned Registration Office section,Bureau d'enregistrement assigné
form.section.bride.name,Form section name for Bride,Mariée
form.section.child.title,Form section title for Child,Détails de l'enfant
form.section.deceased.title,Form section title for Deceased,Information du défunt
form.section.documents.name,Form section name for Documents,Documents
form.section.documents.title,Form section title for Documents,Joindre des documents justificatifs
form.section.groom.name,Form section name for Groom,Marié
form.section.groom.title,Form section title for Groom,Détails du marié
form.section.informant.name,Form section name for Informant,Informateur
form.section.label.timePeriodLast30Days,Label for option of time period select: last 30 days,les 30 derniers jours
form.section.label.timePeriodLast7Days,Label for option of time period select: last 7 days,les 7 derniers jours
form.section.label.timePeriodLast90Days,Label for option of time period select: last 90 days,les 90 derniers jours
form.section.label.timePeriodLastYear,Label for option of time period select: last year,l'année dernière
form.section.mother.title,Form section title for Mother,Information de la mère
form.section.user.preview.title,The title of the review page of the user form,Confirmer les détails
form.section.user.title,The title of user form,Créer un nouvel utilisateur
form.section.userDetails,User details section,information utilisateur
home.header.advancedSearch,Search menu advanced search type,Recherche avancée
home.header.email,Search email type,E-mail
home.header.localSystemAdmin,The description for Sysadmin role,Système admin local
home.header.placeHolderBrnDrn,Search menu brn drn place holder,Recherche d'un BRN/DRN
home.header.placeHolderEmail,Search menu email place holder,Recherchez un e-mail.
home.header.placeHolderId,Search menu ID place holder,Recherche d'un ID
home.header.placeHolderPhone,Search menu phone no place holder,Recherche d'un numéro de téléphone
home.header.placeHolderTrackingId,Search menu tracking id place holder,Recherche d'un ID de suivi
home.header.placeholderName,Search menu name placeholder,Rechercher un nom
home.header.searchTool.placeholder,Search tool placeholder,Rechercher un enregistrement
home.header.settingsTitle,settings title,Paramètres
home.header.systemTitle,System title,Système
home.header.teamTitle,settings title,Équipe
home.header.typeName,Search menu name type,Nom
home.header.typePhone,Search menu phone no type,N° de téléphone
home.header.typeRN,Search menu brn drn type,N ° d'enregistrement.
imageEditorModal.description,Description for the image editor modal,Redimensionner et positionner l'image choisie
imageEditorModal.title,Title for the image editor modal,Recadrer et redimensionner l'image
imageUploadOption.upload.documentType,Show error message if the document type is not selected,Veuillez d'abord sélectionner le type de document
imageUploadOption.upload.error,Show error messages while uploading,"Format de fichier non pris en charge. Veuillez joindre un png, jpg (max {maxSize}mb)"
imageUploadOption.upload.imageFormat,Show error message if the selected image type is not supported,Le format d'image n'est pas supporté. Veuillez joindre un png ou un jpg (max {maxSize}mb)
imageUploadOption.upload.overSized,Error message for Attachment size greater than defined max size.,Le fichier est trop volumineux. Veuillez joindre un fichier de moins de {maxSize}mb
informant.name,Informant section name,Informateur
informant.title,Informant section title,Sélectionner l'informateur
integrations.activate,Label for activate option,Activer
integrations.activate.client,Label for activate client option,Activer le client?
integrations.activate.status,Label for activate client,Client activé
integrations.activatetext,This will activate the client,Cela va activer le client
integrations.active,Label for active integration,Actif
integrations.birth,Label for birth,Naissance
integrations.childDetails,Label for child details,information de l'enfant
integrations.childDetailsNoPII,Label for child details no PII,information  de l'enfant (pas de PII)
integrations.client.type,Label for type of client,Type
integrations.clientDetails,Label for the client details menu item and dialog title,Détails du client
integrations.clientId,Label for client Id,ID du client
integrations.clientName,Heading for the client name field in the details dialog,Nom du client
integrations.clientSecret,Label for client secret,Secret du client
integrations.copy,Label for the text Copy,copie
integrations.createClient,Label for the button creating client,Créer un client
integrations.createdOn,Label showing when an integration was created (no user info),Créé le {date}
integrations.createdOnBy,Label showing when an integration was created and by whom,Créé le {date} par {user}
integrations.deactivate,Label for deactivate option,Désactiver
integrations.deactivate.client,Label for deactivate client option,Désactiver le client?
integrations.deactivate.status,Label for deactivate client,Client désactivé
integrations.deactivatetext,This will deactivate the client,Cela va désactiver le client
integrations.death,Label for death,Décès
integrations.deathEventDetails,Label for death event details,Détails de l'événement de décès
integrations.deceasedDetails,Label for Deceased details,information du défunt
integrations.delete,Label for delete option,Supprimer
integrations.deleteSystemMsg,Label for system deletion success message,Le système a été supprimé avec succès
integrations.deleteSystemText,Label for system delete description,Cela supprimera le système
integrations.disable,Label for disable option,Désactiver
integrations.documentDetails,Label for document details,Détails du document
integrations.enable,Label for enable option,Activé
integrations.error,Label for error option,Quelque chose a mal tourné
integrations.eventNotificationDescription,Label for  health notification description,"Un client de notification (par exemple un hôpital) peut envoyer une notification partielle ou une déclaration complète d'une naissance ou d'un décès dans la norme HL7 FHIR à OpenCRVS pour traitement. Pour plus d'informations, consultez le site :"
integrations.fatherDetails,Label for fathers details,Information du père
integrations.fatherDetailsNoPII,Label for fathers details no PII,Information du père (pas de PII)
integrations.inactive,Label for inactive integration,Inactif
integrations.informantDetails,Label for informant details,Information de l'informateur
integrations.informantDetailsNoPII,Label for informant details no PII,information del'informateur (pas de PII)
integrations.integratingSystemType,Label for integrating system type,Système
integrations.integratingSystemTypeAlertMosip,Label for alert when selecting MOSIP type,"Lorsque le type d'identification nationale ""MOSIP"" est activé, tous les formulaires requièrent l'authentification E-Signet. est activé, tous les formulaires requièrent l'authentification MOSIP E-Signet. Le MOSIP Token Seeder et le médiateur MOSIP compatible avec le webhook OpenCRVS doivent être installés. Pour plus d'informations, visitez le site:"
integrations.integratingSystemTypeAlertOther,Label for alert when selecting other type,"Lorsque l'option ""Other ID"" est activée, le médiateur OpenCRVS National ID par défaut doit être installé. Pour plus d'informations, visitez le site:"
integrations.integratingSystemTypeMosip,"Integrating system type option ""MOSIP""",MOSIP
integrations.integratingSystemTypeOther,"Integrating system type option ""Other""",Autre
integrations.label,Label,Étiquette
integrations.loading,Label for loading option,Chargement
integrations.motherDetails,Label for mothers details,Information de la mère
integrations.motherDetailsNoPII,Label for mothers details no PII,informationd ela mère (pas de PII)
integrations.name,Label for name input,Nom
integrations.nationalIDName,Label for name input for National ID,Nom
integrations.newIntegrationDescription,Description to help user fill name and type of a new integration client,Ajoutez un nom unique et sélectionnez le type de client que vous souhaitez créer
integrations.pageIntroduction,Label for the text integration page intorduction,"Pour chaque nouveau client qui doit s'intégrer à OpenCRVS, vous pouvez créer des identifiants client uniques. Un certain nombre de cas d'utilisation de l'intégration sont actuellement pris en charge, sur la base des technologies API et webhook"
integrations.pageTitle,Title for integrations page,Intégrations
integrations.recordSearchDescription,Label for  record search description,"Un client de recherche d'enregistrements peut effectuer une recherche avancée sur les données OpenCRVS. Pour plus d'informations, visitez :"
integrations.registrationDetailsnNoPII,Label for registration details no PII,Détails de l'enregistrement (pas de PII)
integrations.revealKeys,Label for reveal keys option,Montrer clés de décodage
integrations.scopes,Heading for the scopes list in the client details dialog,Autorisations
integrations.shaSecret,Label for SHA secret,SHA Secret
integrations.type,Label for integration type using ICU MessageFormat select for all types,"{type, select, HEALTH {Intégration de la santé} NATIONAL_ID {Identité nationale} RECORD_SEARCH {Recherche d'enregistrements} other {Personnalisé}}"
integrations.uniqueKeyDescription,Label for the unique key description,Ces clés uniques seront requises par l'interface du système
integrations.updatePermissionsMsg,Label for update permissions message,Mise à jour des permissions avec succès
integrations.webhook.PII,Label for PII,Inclure les données PII
integrations.webhookDescription,label for webhook client,"Un client Webhook peut s'abonner pour être notifié lors de l'enregistrement d'une naissance ou d'un décès selon les normes WebSub du W3C. Pour plus d'informations, consultez le site :"
integrations.webhookPermissionsDescription,Webhook description above permissions,Sélectionnez les données que vous souhaitez voir figurer dans les données utiles du webhook.
label.error,Generic error message for invalid form nput,Entrée invalide
login.codeSubmissionError,The error that appears when the user entered sms code is unauthorised,"Désolé, ce code n'a pas fonctionné."
login.fieldMissing,The error if user doesn't fill all the field,Nom d'utilisateur/mot de passe requis
login.forbiddenCredentialError,The error that appears when the user entered details are forbidden,L'utilisateur est actuellement désactivé.
login.forgotPassword,The label that appears on the Forgot password button,Vous ne pouvez pas vous connecter ?
login.language,,"{language, select, en {English} fr {Français} other {{language}}}"
login.optionalLabel,Optional label,Optionel
login.passwordLabel,The label that appears on the password input,Mot de passe
login.resend,Text for button that resends SMS or email verification code,"Renvoyer le {notificationMethod, select, sms {SMS} email {Email} other {}}"
login.resentEMAIL,The message that appears when the resend button is clicked and tells user than code is resent to email,Nous venons de vous envoyer un autre code à {email}.
login.resentSMS,The message that appears when the resend button is clicked and tells user than code is resent to email,Nous venons de vous envoyer un autre code à {number}.
login.stepOneInstruction,The instruction that appears in step one of the form,Veuillez entrer votre nom d'utilisateur et votre mot de passe.
login.stepOneText,The instruction that appears in step one of the login form,Connectez-vous à Farajaland CRVS
login.stepTwoInstruction.email,The instruction that appears in step two of the form that lets users know that code has been sent to email,Un code d'authentification a été envoyé à {email}. Ce code sera valable 10 minutes
login.stepTwoInstruction.sms,The instruction that appears in step two of the form that lets users know that code has been sent to phone,Un code de vérification a été envoyé à votre téléphone. se terminant par {number}. Ce code sera valide pendant 5 minutes.
login.stepTwoResendTitle,The title that appears in step two of the form after resend button click,Envoi du code de vérification
login.stepTwoTitle,The title that appears in step two of the form,Vérifier votre compte
login.submissionError,The error that appears when the user entered details are unauthorised,Désolé que le nom d'utilisateur et le mot de passe n'aient pas fonctionné.
login.submit,The label that appears on the submit button,Se connecter
login.username,The label that appears on the mobile number input,Nom d'utilisateur
login.verficationCodeLabel,Verification code label,Code de vérification (6 chiffres)
login.verify,The label that appears on the verify code button,Vérifier
messages.emptyString,empty string,
misc.confirmPinTitle,The title displayed while creating a PIN,Confirmer le  Code PIN
misc.createDescription,The description displayed while creating a PIN,Choisissez un code PIN qui ne comporte pas 4 chiffres répétitifs ou des numéros séquentiels.
misc.createTitle,The title displayed while creating a PIN,Créer un code PIN
misc.description.Complete,Description for review action component when complete declaration,L'informateur recevra un courriel contenant un numéro d'enregistrement qu'il pourra utiliser pour retirer son certificat.
misc.description.inComplete,,Des informations obligatoires sont manquantes. Veuillez ajouter ces informations afin de pouvoir les envoyer pour approbation.
misc.newPass.header,New Password header,Choisissez un nouveau mot de passe
misc.newPass.instruction,New Password instruction,"Créez un mot de passe unique, que vous n'utilisez pas pour d'autres sites web ou applications. Une phrase de passe sûre et facile à retenir pourrait inclure trois mots aléatoires, tout en évitant d'utiliser des informations personnelles."
misc.notif.declarationsSynced,The message that appears in notification when background sync takes place,"Comme vous disposez d'une connectivité, nous pouvons synchroniser vos déclarations."
misc.notif.draftsSaved,The message that appears in notification when save drafts button is clicked,Votre brouillon a été enregistré
misc.notif.duplicateRecord,Label for when a duplicate record is detected when registering a record.,{trackingId} est un doublon potentiel. L'enregistrement est prêt à être examiné.
misc.notif.emailAllUsersError,Label for Email all users error toast,Un seul e-mail peut être envoyé par jour
misc.notif.emailAllUsersSuccess,Label for Email all users success toast,Email envoyé à tous les utilisateurs
misc.notif.offlineError,The message that appears in notification when a new user creation fails in offline mode,Hors ligne. Réessayez une fois reconnecté
misc.notif.onlineUserStatus,Label for online user status toast notification,Vous êtes de nouveau en ligne
misc.notif.outboxText,Declaration outbox text,Boîte d'envoi({num})
misc.notif.processingText,Declaration processing text,Traitement de la déclaration {num}...
misc.notif.sorryError,The message that appears in notification when a new user creation fails,Désolé ! Quelque chose s'est mal passé
misc.notif.unassign,Label for unassigned toast notification,Vous avez été désassigné de {trackingId}
misc.notif.updatePINSuccess,Label for update PIN success notification toast,Votre code a été mis à jour avec succès
misc.notif.userAuditSuccess,Label for user audit success notification,"{name} était {action, select, DEACTIVATE {désactivé} REACTIVATE {réactivé} other{désactivé}}"
misc.notif.userFormSuccess,The message that appears in notification when a new user is created,Nouvel utilisateur créé
misc.notif.userFormUpdateSuccess,The message that appears in notification when user details have been updated,Les détails de l'utilisateur ont été mis à jour
misc.pinMatchError,The error displayed if PINs don't match,Le code PIN ne correspond pas. Veuillez réessayer.
misc.pinSameDigitsError,The error displayed if PIN contains 4 same digits.,Le code PIN ne peut pas avoir les mêmes 4 chiffres
misc.pinSeqDigitsError,The error displayed if PIN contains sequential digits.,Le code PIN ne peut pas contenir de chiffres séquentiels
misc.reEnterDescription,,Assurons-nous que nous avons recueilli votre code PIN correctement.
misc.reEnterTitle,The title displayed while creating a PIN,Saisissez à nouveau votre nouveau code PIN
misc.session.expired,SessionExpire modal confirmation text,Votre session a expiré. Veuillez vous connecter à nouveau.
misc.title.declarationStatus,Title for review action component,Envoyer pour approbation
modal.approveCorrection,The title for approve correction modal,Approuver la correction ?
modal.rejectCorrection,The title for reject correction modal,Rejeter la correction ?
navigation.analytic,Analytic Group,Analytique
navigation.application,Application label in navigation,Application
navigation.approvals,Sent for approval label in navigation,Envoyé pour approbation
navigation.certificate,Certificates label in navigation,Certificats
navigation.communications,Communications label in navigation,Communications
navigation.completenessRates,Completeness rates in navigation,Taux de complétude
navigation.config,Config label in navigation,Paramétrages
navigation.dashboard,Title for the test dashboard,Tableau de bord
navigation.declarationForms,Declaration forms label in navigation,Formulaires de déclaration
navigation.emailAllUsers,Email all users label in navigation,Envoyer un e-mail à tous les utilisateurs
navigation.informantNotification,Informant notifications label in navigation,Notifications des informateurs
navigation.integration,Integration forms label in navigation,Intégrations
navigation.myDrafts,My drafts label in navigation,Mes brouillons
navigation.organisation,settings title,Organisation
navigation.outbox,Label for navigation item outbox,Boîte d'envoi
navigation.performance,Performance label in navigation,Performance
navigation.print,Ready to print label in navigation,Prêt à être imprimé
navigation.progress,In progress label in navigation,En cours
navigation.readyForReview,Ready for review label in navigation,Prêt pour examen
navigation.readyToIssue,Ready to issue label in navigation,Prêts pour émession
navigation.report,Report Dashboard Section,Rapport
navigation.reports,Reports label in navigation,Statistiques vitales
navigation.requiresUpdate,Requires update label for registrar in navigation,Nécessite une mise à jour
navigation.sentForReview,Sent for review label in navigation,Envoyé pour révision
navigation.team,Team label in navigation,Équipe
navigation.userroles,User roles label in navigation,Rôles des utilisateurs
navigation.waitingValidation,Waiting for validation label in navigation,En attente de validation
number.twelve,Minimum length password,12
password.cases,Password validation,Au moins un caractère majuscule et minuscule
password.label.confirm,Confirm password label,Confirmez le mot de passe
password.label.current,Current password label,Mot de passe actuel
password.label.new,New password label,Nouveau mot de passe
password.match,Password validation,Les mots de passe correspondent
password.minLength,Password validation,{min} caractères minimum
password.mismatch,Password validation,Les mots de passe ne correspondent pas
password.number,Password validation,Au moins un chiffre
password.validation.msg,Password validation message,Le mot de passe doit avoir :
performance.appSrc.labels.fieldAgents,Label for field agents in application sources,Agents de terrain
performance.appSrc.labels.hospitalApplications,Label for hospital applications,Système de santé (intégration)
performance.appSrc.labels.nationalRegistrars,Label for national registrars in application sources,Administrateurs civil
performance.appSrc.labels.registrars,Label for registrars in application sources,Officiers d'etat civil
performance.appSrc.labels.registrationAgents,Label for registration agents in application sources,Agents d'enregistrement
performance.completenessTable.completenessRate,Title for Completeness rate column in the table,taux de complétude
performance.fieldAgents.col.avgCompTime,Column header for avg declaration completion time in field agent list,Délai moyen d'envoi de la déclaration complète de
performance.fieldAgents.col.totInProg,Column header for total inprogress declaration sent in field agent list,Envoyé{linebreak}incomplet
performance.fieldAgents.col.totRej,Column header for total rejected declarations in field agent list,Rejeté
performance.fieldAgents.columnHeader.name,Column header for field agent,Agents de terrain ({totalAgents})
performance.fieldAgents.columnHeader.office,Column header for office in field agent list,Bureau
performance.fieldAgents.columnHeader.role,Column header for role in field agent list,Rôle
performance.fieldAgents.columnHeader.startMonth,Column header for start of month in field agent list,Mois de début
performance.fieldAgents.columnHeader.totalSent,Column header for total declaration sent in field agent list,Déclarations{linebreak} envoyées
performance.fieldAgents.columnHeader.type,Column header for type in field agent list,Type
performance.fieldAgents.noResult,Text for no field agent found,Aucun utilisateur trouvé
performance.fieldAgents.options.event.births,Label for birth event option,Naissances
performance.fieldAgents.options.event.both,Label for both event option,Naissances et décès
performance.fieldAgents.options.event.deaths,Label for death event option,Décès
performance.fieldAgents.options.status.active,Label for active status option,Actif
performance.fieldAgents.options.status.deactive,Label for deactive status option,Désactivé
performance.fieldAgents.options.status.pending,Label for pending status option,En attente
performance.fieldAgents.showMore,Label for show more link,Afficher le prochain {pageSize}
performance.fieldAgents.title,Header title for field agent list page,Agents de terrain
performance.header.sysadmin.home,Header for system admin performance home page,Recherche d'une zone administrative ou d'un bureau
performance.labels.certificationRate,,Taux de certification
performance.operational.workflowStatus.header,Header title for work flow status page,Déclarations actuelles en cours de traitement
performance.ops.statCount.desc,Description of the status wise declaration count view,"État actuel des enregistrements {event, select, BIRTH{naissance} DEATH{décès} other{naissance}} en cours de traitement."
performance.payments.label.certificationFee,Label for certification fee,Frais de certification
performance.payments.label.correctionFee,Label for correction fee,Frais de correction
performance.regRates.column.location,Title for location column on estimation table,Sites
performance.regRates.select.item.byLocation,Label for select option By location,Par lieux
performance.regRates.select.item.byRegistrar,Label for select option By Registrar,Par l'officier d'etat civil
performance.regRates.select.item.overTime,Label for select option Over time,Par période
performance.registrarsToCitizen,Title for Registrars to citizens,Des officiers d'etat civil aux citoyens
performance.registrarsToCitizenValue,Value for Registrars to citizens,1 à {citizen}
performance.registrationByStatus.header,Title for Registration by status,Inscription par statut
performance.registrationsListTable.locationColumn,Title for location column in the table,Localisation
performance.registrationsListTable.monthColumn,Title for month column in the table,Mois
performance.registrationsListTable.registrarColumn,Title for registrar column in the table,Officier d'etat civil
performance.registrationsListTable.totalRegistrationsColumn,Title for total registrations column in the table,Total des Enregistrements
performance.reports.appStart.desc,Description for declarations started in performance reports,Répartition totale et en pourcentage des déclarations entamées par source à partir de
performance.reports.appStart.fieldAgents,Field agent declarations started title,Agents de terrain
performance.reports.corrections.other.label,"Label ""Other"" category in corrections",Autre
performance.reports.declarationsStarted.hospitals,Hospitals declarations started title,Hôpitaux (DHIS2)
performance.reports.declarationsStarted.offices,Offices declarations started title,Bureaux d'enregistrement
performance.reports.declarationsStarted.title,Title for declarations started in performance reports,Déclarations entamées
performance.reports.declarationsStarted.total,Total declarations started title,Total des déclarations entamées
performance.reports.header.applicationSources,Header for sources of registrations,Sources des déclarations
performance.reports.header.completenessRates,Header for report completeness rates,Taux de complétude
performance.reports.header.totalCertificates,Header for report total certificates,Certificats émis
performance.reports.header.totalCorrections,Header for report total corrections,Corrections
performance.reports.header.totalPayments,Header for report total payments,Droits perçus
performance.reports.header.totalRegistrations,Header for report total registrations,Enregistrements
performance.reports.select.item.operational,Label for select option Operational,Opérationnel
performance.reports.select.item.reports,Label for select option Reports,Rapports
performance.reports.subHeader.applicationSources,Subheader for sources of registrations,Le nombre et le pourcentage de déclarations lancées par chaque rôle du système qui ont été enregistrées.
performance.reports.subHeader.completenessRates,Sub header for report completeness rates,"Le nombre d'enregistrements, exprimé en % du nombre total estimé de {event, select, BIRTH{naissance} DEATH{décès} other{naissances}} survenus."
performance.reports.subHeader.totalCertificates,Sub header for report total certificates,"Le taux de certification est le nombre de certificats émis, exprimé en pourcentage du nombre total d'enregistrements."
performance.stats.header,Title for perforamce stats,Statistiques
performance.values.labels.birth.healthFacility,Label text for display showing health facility births,Naissances dans les établissements de santé
performance.values.labels.birth.home,Label text for display showing private home births,Naissances à domicile
performance.values.labels.death.healthFacility,Label text for display showing health facility deaths,Décès dans les établissements de santé
performance.values.labels.death.home,Label text for display showing private home deaths,Décès à domicile
performance.values.labels.delayed,Label text for display showing delayed registrations,Déclarations tardives
performance.values.labels.female,Label text for displays showing the number of females,Femme
performance.values.labels.late,Label text for display showing late registrations,Inscriptions tardives
performance.values.labels.male,Label text for displays showing the number of males,Homme
performance.values.labels.total,Label text for displays showing totals,Total
performance.values.labels.within1Year,Label text for displays showing registered within 1 year,Dans un délai de 1 an
performance.values.labels.within5Years,Label text for displays showing registered within 5 years,Dans les 5 ans
performance.values.labels.withinTargetDays,Label text for displays showing registered within target days,"{withPrefix, select, true {Enregistré dans un délai de} other {Dans un délai de}} {target} jours"
phone.digit,,10
phone.label.changeEmail,Change email address label,Quelle est votre nouvelle adresse e-mail ?
phone.label.changeNumber,Change phone number label,Quel est votre nouveau numéro ?
phone.label.confirmation,Confirmation phone number message,Un SMS de confirmation a été envoyé à {num}.
phone.label.verify,Verify phone number label,Entrez le code de vérification à 6 chiffres
phone.start,Should starts with,0(4|5)
